"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 21:22:27 MSK 2024","Wed Sep 11 21:22:27 MSK 2024","766","","UserLoginTest","","UserLoginTest","userInvalidPasswordAuthTest","Тест авторизации существующего пользователя с неверным паролем",""
"passed","Wed Sep 11 21:22:43 MSK 2024","Wed Sep 11 21:22:48 MSK 2024","4485","","OrderCreationTest","","OrderCreationTest","createOrderWithIngredientsTest","Тест создания заказа с ингредиентами",""
"passed","Wed Sep 11 21:22:51 MSK 2024","Wed Sep 11 21:22:52 MSK 2024","1087","","UserRegisterTest","","UserRegisterTest","newUserRegisterTest","Тест регистрации нового пользователя",""
"passed","Wed Sep 11 21:22:33 MSK 2024","Wed Sep 11 21:22:38 MSK 2024","4944","","GetOrderByUserTest","","GetOrderByUserTest","getOrderListByNoAuthTest","Тест получения списка заказов пользователя без авторизации",""
"passed","Wed Sep 11 21:22:50 MSK 2024","Wed Sep 11 21:22:51 MSK 2024","1497","","OrderCreationTest","","OrderCreationTest","createOrderWithoutIngredientsTest","Тест создания заказа без ингредиентов",""
"passed","Wed Sep 11 21:22:53 MSK 2024","Wed Sep 11 21:22:54 MSK 2024","1401","","UserRegisterTest","","UserRegisterTest","noEmailRegisterTest","Тест регистрации нового пользователя без email",""
"passed","Wed Sep 11 21:22:54 MSK 2024","Wed Sep 11 21:22:55 MSK 2024","316","","UserRegisterTest","","UserRegisterTest","existingUserRegisterTest","Тест регистрации существующего пользователя",""
"passed","Wed Sep 11 21:22:52 MSK 2024","Wed Sep 11 21:22:53 MSK 2024","300","","UserRegisterTest","","UserRegisterTest","noNameRegisterTest","Тест регистрации нового пользователя без без имени",""
"passed","Wed Sep 11 21:22:15 MSK 2024","Wed Sep 11 21:22:26 MSK 2024","10584","","UserLoginTest","","UserLoginTest","userValidAuthTest","Тест авторизации существующего пользователя с валидными данными",""
"failed","Wed Sep 11 21:22:48 MSK 2024","Wed Sep 11 21:22:50 MSK 2024","1872","","OrderCreationTest","","OrderCreationTest","createOrderWithoutAuthTest","Тест создания заказа без авторизации",""
"passed","Wed Sep 11 21:22:26 MSK 2024","Wed Sep 11 21:22:27 MSK 2024","835","","UserLoginTest","","UserLoginTest","userInvalidEmailAuthTest","Тест авторизации существующего пользователя с неверным email",""
"passed","Wed Sep 11 21:22:27 MSK 2024","Wed Sep 11 21:22:33 MSK 2024","5742","","GetOrderByUserTest","","GetOrderByUserTest","getOrderListByAuthUserTest","Тест получения списка заказов пользователя, если пользователь авторизован",""
"passed","Wed Sep 11 21:22:53 MSK 2024","Wed Sep 11 21:22:53 MSK 2024","287","","UserRegisterTest","","UserRegisterTest","noPasswordRegisterTest","Тест регистрации нового пользователя без пароля",""
"passed","Wed Sep 11 21:22:38 MSK 2024","Wed Sep 11 21:22:39 MSK 2024","1272","","OrderCreationTest","","OrderCreationTest","createOrderWithInvalidIngredientsTest","Тест создания заказа с неверным хэшем ингредиентов",""
"passed","Wed Sep 11 21:22:39 MSK 2024","Wed Sep 11 21:22:43 MSK 2024","3934","","OrderCreationTest","","OrderCreationTest","createOrderWithAuthTest","Тест создания заказа с авторизацией",""
